,Topic2,Topic6,Topic8,Topic12,Topic17,Topic22,Topic23,Topic29,Topic36,Topic58,Topic66,Topic67,Topic69,Topic93,Price_MA,Value
2017/9/18,5,2,13,14,31,2,9,24,51,24,28,13,8,11,3807.56584,3746.0608
2017/9/19,3,2,10,6,22,4,5,18,35,19,23,2,3,4,3712.97068,4093.3167
2017/9/20,6,1,6,6,18,3,1,36,49,12,17,6,5,3,3739.37976,3943.4133
2017/9/21,0,6,22,14,15,8,3,28,45,21,24,6,5,7,3864.13642,3977.5617
2017/9/22,3,9,6,8,25,12,8,51,62,22,31,6,8,4,3904.7957,3658.8982
2017/9/23,5,2,15,3,19,5,3,34,49,21,31,4,6,7,3883.85014,3637.5026
2017/9/24,4,6,29,1,12,1,5,17,33,9,26,3,7,2,3862.1385,3776.3869
2017/9/25,5,6,6,2,15,6,4,27,29,9,20,2,5,6,3798.75254,3703.0407
2017/9/26,6,5,49,3,22,5,5,35,59,15,31,9,7,11,3750.67802,3942.555
2017/9/27,4,3,26,4,21,3,9,28,45,14,24,4,1,2,3743.67668,3910.3074
2017/9/28,0,8,11,8,19,7,13,37,49,19,29,1,11,5,3793.95852,4202.555
2017/9/29,0,4,19,3,11,5,7,11,41,13,27,1,10,3,3906.969,4201.9891
2017/9/30,7,3,31,5,7,6,10,45,66,31,37,3,11,10,3992.08944,4193.5747
2017/10/1,1,3,25,3,14,3,0,23,28,16,14,6,3,4,4090.19624,4335.3683
2017/10/2,6,4,36,8,22,6,2,33,63,10,27,7,12,6,4168.7589,4360.723
2017/10/3,2,6,7,9,24,5,13,14,42,12,11,8,5,1,4258.84202,4386.8838
2017/10/4,3,5,9,4,12,5,7,48,40,21,32,3,6,10,4295.70778,4293.3066
2017/10/5,5,2,9,5,11,6,3,40,66,8,19,4,8,7,4313.97128,4225.175
2017/10/6,4,4,10,3,16,4,10,27,30,12,23,3,6,6,4320.29134,4338.852
2017/10/7,3,2,2,5,16,2,3,12,22,6,12,3,2,2,4320.98808,4345.6033
2017/10/8,2,2,4,2,5,1,0,13,31,8,12,1,8,4,4317.96414,4376.1917
2017/10/9,4,8,46,1,21,3,3,27,46,21,20,6,9,10,4315.82572,4602.2809
2017/10/10,2,3,27,8,16,11,2,35,50,21,25,4,10,5,4377.62058,4777.9678
2017/10/11,3,2,36,1,11,4,8,19,26,9,12,0,11,7,4488.17914,4782.28
2017/10/12,2,1,17,2,21,6,1,23,20,2,16,7,5,3,4576.86474,4819.4858
2017/10/13,4,1,16,5,20,7,2,18,42,9,11,1,3,1,4671.64124,5325.1307
2017/10/14,6,5,31,2,13,3,3,20,37,10,21,2,4,5,4861.42904,5563.8066
2017/10/15,1,7,32,0,11,5,7,24,33,10,15,2,5,3,5053.73418,5739.4387
2017/10/16,0,3,8,2,10,4,3,24,31,6,15,2,4,4,5246.02836,5647.3117
2017/10/17,7,5,17,5,7,4,6,16,32,8,18,2,5,6,5419.0347,5711.2059
2017/10/18,3,3,20,8,29,2,5,51,51,14,20,4,5,6,5597.37872,5603.7129
2017/10/19,3,8,2,6,18,5,33,26,44,16,21,6,8,5,5653.09516,5546.1761
2017/10/20,18,11,43,7,39,9,11,47,83,22,30,7,5,10,5649.56906,5727.6335
2017/10/21,7,5,54,5,22,2,6,25,51,14,26,4,5,6,5647.20802,5979.4598
2017/10/22,5,1,18,3,7,1,2,14,35,6,9,1,5,2,5713.63764,6020.3717
2017/10/23,5,3,1,4,24,4,2,22,37,11,15,2,1,12,5775.4708,5983.1846
2017/10/24,7,8,2,10,11,3,6,50,55,15,32,4,3,4,5851.36514,5876.0799
2017/10/25,2,4,1,4,23,5,10,38,31,14,19,7,4,5,5917.3459,5505.8278
2017/10/26,1,3,8,6,17,4,3,22,27,10,12,0,4,2,5872.98476,5669.6225
2017/10/27,7,3,7,4,13,1,3,17,18,10,6,1,0,1,5811.0173,5893.1384
2017/10/28,6,2,2,10,9,1,7,33,41,13,14,3,5,6,5785.57064,5772.505
2017/10/29,2,0,6,0,2,4,1,8,18,4,6,0,1,0,5743.43472,5776.697
2017/10/30,1,4,2,2,6,2,2,12,15,9,9,3,0,1,5723.55814,6155.434
2017/10/31,3,3,19,3,15,1,5,17,46,15,14,7,2,3,5853.47938,6105.8742
2017/11/1,0,0,9,1,6,4,2,11,19,6,13,0,4,3,5940.72972,6388.6452
2017/11/2,3,7,105,21,21,7,7,58,84,34,33,7,8,5,6039.83108,6665.3067
2017/11/3,9,8,78,6,19,4,4,34,76,21,33,3,6,4,6218.39142,7068.0201
2017/11/4,3,2,24,6,20,10,3,20,61,9,23,2,5,4,6476.65604,7197.7201
2017/11/5,3,2,13,3,3,7,2,14,16,3,8,2,3,1,6685.11326,7437.5433
2017/11/6,5,4,11,7,9,5,7,32,39,8,15,3,4,1,6951.44708,7377.0124
2017/11/7,6,10,13,4,9,5,19,24,39,11,24,2,7,4,7149.12052,6989.0717
2017/11/8,4,2,56,7,19,7,15,25,68,17,26,4,11,7,7213.87352,7092.1272
2017/11/9,1,1,2,4,27,1,2,17,27,14,18,1,2,2,7218.69494,7415.8783
2017/11/10,4,1,1,8,14,3,7,34,56,27,28,3,3,1,7262.32658,7158.0371
2017/11/11,8,7,54,10,12,3,7,34,65,22,43,6,8,2,7206.42534,6719.3979
2017/11/12,7,8,94,15,19,6,7,60,103,27,55,6,11,8,7074.90244,6362.851
2017/11/13,7,2,37,4,43,4,5,31,47,21,40,10,1,5,6949.6583,5716.3016
2017/11/14,2,3,23,6,34,9,6,29,54,14,24,6,11,2,6674.49318,6550.2275
2017/11/15,6,5,16,3,15,4,10,34,48,14,33,6,4,2,6501.36302,6635.4126
2017/11/16,5,3,41,5,18,4,3,19,40,15,33,2,10,4,6396.83812,7301.4299
2017/11/17,7,3,8,3,7,0,3,37,47,19,18,0,6,7,6513.24452,7815.0307
2017/11/18,6,1,24,6,3,1,2,25,28,2,11,4,1,1,6803.68046,7786.8844
2017/11/19,2,4,5,0,5,1,2,15,21,7,15,3,2,2,7217.79702,7817.1404
2017/11/20,2,1,16,7,13,10,7,32,49,12,18,4,6,3,7471.1796,8007.6541
2017/11/21,5,3,7,5,7,2,2,23,25,9,11,4,2,4,7745.6279,8255.5968
2017/11/22,0,4,1,1,17,8,5,27,34,18,19,2,6,3,7936.46128,8059.8
2017/11/23,5,4,14,6,13,2,3,16,32,14,21,3,2,4,7985.41514,8268.035
2017/11/24,3,5,32,2,8,2,4,25,47,21,16,3,5,4,8081.64526,8148.95
2017/11/25,4,4,8,2,6,6,2,23,35,19,16,5,4,2,8148.00718,8250.9783
2017/11/26,2,2,2,7,18,7,0,34,30,13,19,3,6,4,8196.67202,8707.4073
2017/11/27,2,4,17,7,16,2,8,23,33,8,12,10,5,5,8287.03412,9284.1438
2017/11/28,6,2,9,5,27,7,8,36,49,21,23,6,5,11,8531.90288,9718.2951
2017/11/29,8,13,8,3,10,7,7,29,66,17,28,2,8,12,8821.9549,9952.5088
2017/11/30,10,3,4,8,11,11,5,43,65,25,24,2,14,8,9182.66666,9879.3283
2017/12/1,7,15,8,4,18,4,5,35,51,15,26,6,6,7,9508.33666,10147.372
2017/12/2,24,1,208,9,5,3,8,29,58,10,38,4,8,7,9796.3296,10883.912
2017/12/3,8,6,44,2,15,1,8,33,75,17,27,2,6,10,10116.28324,11071.3683
2017/12/4,8,11,13,3,9,9,2,41,53,21,22,7,9,9,10386.89788,11332.622
2017/12/5,4,8,54,6,19,8,7,36,70,21,29,11,10,7,10662.92052,11584.83
2017/12/6,3,3,75,7,30,3,6,46,80,18,40,1,11,4,11004.02086,11878.4333
2017/12/7,4,7,8,5,17,1,7,32,65,14,32,2,4,3,11350.23312,13540.98
2017/12/8,5,4,8,7,16,6,4,28,35,12,16,5,5,8,11881.64672,16501.9717
2017/12/9,15,6,78,6,22,10,15,65,84,31,47,4,13,8,12967.7674,16007.4367
2017/12/10,5,12,68,4,17,11,4,63,83,22,46,5,7,5,13902.73034,15142.8342
2017/12/11,6,2,44,2,19,7,6,42,57,9,27,3,5,7,14614.33118,14869.805
2017/12/12,13,9,22,14,16,7,4,50,58,17,29,6,7,4,15212.60552,16762.1167
2017/12/13,8,1,42,4,22,7,6,38,66,13,23,10,4,6,15856.83286,17276.3933
2017/12/14,6,1,15,10,14,9,4,66,56,22,26,4,12,8,16011.71718,16808.3667
2017/12/15,1,4,5,8,11,6,3,31,54,21,19,5,4,5,16171.90318,16678.892
2017/12/16,4,1,4,3,5,4,6,14,44,8,13,3,3,6,16479.11474,17771.9
2017/12/17,10,16,50,6,15,13,7,54,107,39,67,6,12,19,17059.53374,19498.6833
2017/12/18,3,2,25,6,12,6,6,40,60,26,34,5,5,3,17606.84706,19289.785
2017/12/19,9,4,18,10,19,10,9,42,84,13,31,6,9,4,18009.5254,18961.8567
2017/12/20,25,10,23,30,22,13,10,95,128,56,69,13,10,14,18440.2234,17737.1117
2017/12/21,19,10,64,15,33,14,7,79,139,46,75,11,18,11,18651.86734,16026.2717
2017/12/22,4,4,62,9,25,2,6,74,126,57,62,5,13,14,18302.74168,16047.51
2017/12/23,12,2,128,6,34,9,40,57,127,42,63,4,10,13,17612.50702,15190.945
2017/12/24,5,10,179,4,26,13,21,68,133,50,73,10,19,9,16792.73902,15360.2617
2017/12/25,4,2,6,0,5,3,2,17,33,17,18,4,4,9,16072.42002,13949.175
2017/12/26,1,5,14,7,5,10,6,24,44,15,18,6,3,1,15314.83268,14119.0283
2017/12/27,5,1,36,5,9,7,6,25,67,11,33,12,7,6,14933.384,15999.0483
2017/12/28,7,3,126,6,34,11,6,45,103,33,45,17,20,6,14923.69166,15589.3217
2017/12/29,8,12,113,11,30,7,11,46,115,55,103,13,11,7,15003.367,14380.5817
2017/12/30,6,4,22,2,10,14,7,26,71,10,27,6,8,4,14807.431,14640.14
2017/12/31,1,6,79,10,17,12,3,49,81,22,46,5,5,7,14945.624,13215.574
2018/1/1,1,2,97,5,5,4,6,25,46,14,26,0,7,9,14764.93314,14165.575
2018/1/2,12,7,91,7,26,5,9,73,115,29,60,9,11,8,14398.23848,13812.1867
2018/1/3,7,14,89,7,24,24,7,54,88,27,53,5,16,4,14042.81148,15005.8567
