Date,Value,5 day MA,d2,d6,d8,d13,d17,d22,d23,d29,d36,d58,d66,d67,d69,d93
42995,3763.626,3904.45864,5,3,1,57,9,6,5,25,33,20,20,6,4,7
42996,3746.0608,3807.56584,5,2,13,57,31,2,9,24,51,24,28,13,8,11
42997,4093.3167,3712.97068,3,2,10,40,22,4,5,18,35,19,23,2,3,4
42998,3943.4133,3739.37976,6,1,6,28,18,3,1,36,49,12,17,6,5,3
42999,3977.5617,3864.13642,0,6,22,54,15,8,3,28,45,21,24,6,5,7
43000,3658.8982,3904.7957,3,9,6,74,25,12,8,51,62,22,31,6,8,4
43001,3637.5026,3883.85014,5,2,15,55,19,5,3,34,49,21,31,4,6,7
43002,3776.3869,3862.1385,4,6,29,49,12,1,5,17,33,9,26,3,7,2
43003,3703.0407,3798.75254,5,6,6,35,15,6,4,27,29,9,20,2,5,6
43004,3942.555,3750.67802,6,5,49,82,22,5,5,35,59,15,31,9,7,11
43005,3910.3074,3743.67668,4,3,26,46,21,3,9,28,45,14,24,4,1,2
43006,4202.555,3793.95852,0,8,11,66,19,7,13,37,49,19,29,1,11,5
43007,4201.9891,3906.969,0,4,19,69,11,5,7,11,41,13,27,1,10,3
43008,4193.5747,3992.08944,7,3,31,59,7,6,10,45,66,31,37,3,11,10
43009,4335.3683,4090.19624,1,3,25,35,14,3,0,23,28,16,14,6,3,4
43010,4360.723,4168.7589,6,4,36,63,22,6,2,33,63,10,27,7,12,6
43011,4386.8838,4258.84202,2,6,7,37,24,5,13,14,42,12,11,8,5,1
43012,4293.3066,4295.70778,3,5,9,63,12,5,7,48,40,21,32,3,6,10
43013,4225.175,4313.97128,5,2,9,50,11,6,3,40,66,8,19,4,8,7
43014,4338.852,4320.29134,4,4,10,26,16,4,10,27,30,12,23,3,6,6
43015,4345.6033,4320.98808,3,2,2,32,16,2,3,12,22,6,12,3,2,2
43016,4376.1917,4317.96414,2,2,4,43,5,1,0,13,31,8,12,1,8,4
43017,4602.2809,4315.82572,4,8,46,55,21,3,3,27,46,21,20,6,9,10
43018,4777.9678,4377.62058,2,3,27,61,16,11,2,35,50,21,25,4,10,5
43019,4782.28,4488.17914,3,2,36,35,11,4,8,19,26,9,12,0,11,7
43020,4819.4858,4576.86474,2,1,17,36,21,6,1,23,20,2,16,7,5,3
43021,5325.1307,4671.64124,4,1,16,39,20,7,2,18,42,9,11,1,3,1
43022,5563.8066,4861.42904,6,5,31,45,13,3,3,20,37,10,21,2,4,5
43023,5739.4387,5053.73418,1,7,32,45,11,5,7,24,33,10,15,2,5,3
43024,5647.3117,5246.02836,0,3,8,27,10,4,3,24,31,6,15,2,4,4
43025,5711.2059,5419.0347,7,5,17,37,7,4,6,16,32,8,18,2,5,6
43026,5603.7129,5597.37872,3,3,20,40,29,2,5,51,51,14,20,4,5,6
43027,5546.1761,5653.09516,3,8,2,50,18,5,33,26,44,16,21,6,8,5
43028,5727.6335,5649.56906,18,11,43,84,39,9,11,47,83,22,30,7,5,10
43029,5979.4598,5647.20802,7,5,54,62,22,2,6,25,51,14,26,4,5,6
43030,6020.3717,5713.63764,5,1,18,32,7,1,2,14,35,6,9,1,5,2
43031,5983.1846,5775.4708,5,3,1,38,24,4,2,22,37,11,15,2,1,12
43032,5876.0799,5851.36514,7,8,2,55,11,3,6,50,55,15,32,4,3,4
43033,5505.8278,5917.3459,2,4,1,59,23,5,10,38,31,14,19,7,4,5
43034,5669.6225,5872.98476,1,3,8,35,17,4,3,22,27,10,12,0,4,2
43035,5893.1384,5811.0173,7,3,7,31,13,1,3,17,18,10,6,1,0,1
43036,5772.505,5785.57064,6,2,2,33,9,1,7,33,41,13,14,3,5,6
43037,5776.697,5743.43472,2,0,6,26,2,4,1,8,18,4,6,0,1,0
43038,6155.434,5723.55814,1,4,2,13,6,2,2,12,15,9,9,3,0,1
43039,6105.8742,5853.47938,3,3,19,58,15,1,5,17,46,15,14,7,2,3
43040,6388.6452,5940.72972,0,0,9,27,6,4,2,11,19,6,13,0,4,3
