Date,Topic1,Topic2,Topic3,Topic4,Topic5,Topic6,Topic7,Topic8,Topic9,Topic10,Value,log_price,dif_log_price,w1,w2,w3,w4,w5,w6,w7,w8,w9,w10,dw1,dw2,dw3,dw4,dw5,dw6,dw7,dw8,dw9,dw10,d1,d2,d3,d4,d5,d6,d7,d8,d9,d10,dprice
2017/9/12,118,113,128,64,96,107,66,156,92,129,4248.0900 ,8.354224753,,0.027777189,0.02660019,0.030131188,0.015065594,0.022598391,0.02518779,0.015536394,0.036722386,0.021656792,0.030366588,,,,,,,,,,,,,,,,,,,,,
2017/9/13,121,117,117,116,101,138,118,129,134,94,4219.0366 ,8.347362091,-0.006862662,0.028679533,0.027731449,0.027731449,0.027494428,0.023939114,0.032708889,0.02796847,0.030575701,0.031760805,0.022279968,0.000902344,0.00113126,-0.002399739,0.012428834,0.001340723,0.007521099,0.012432076,-0.006146685,0.010104014,-0.00808662,3,4,-11,52,5,31,52,-27,42,-35,(29.0534)
2017/9/14,230,145,161,61,117,143,165,192,177,122,3961.2713 ,8.28432028,-0.063041811,0.058062169,0.036604411,0.040643518,0.015399097,0.029535973,0.036099522,0.041653295,0.048469289,0.044682625,0.030798194,0.029382636,0.008872961,0.012912069,-0.012095331,0.005596858,0.003390633,0.013684825,0.017893588,0.01292182,0.008518226,109,28,44,-55,16,5,47,63,43,28,(257.7654)
2017/9/15,153,128,128,68,93,83,73,131,140,88,3319.6300 ,8.10760861,-0.17671167,0.046089474,0.038558514,0.038558514,0.020484211,0.02801517,0.025002786,0.021990403,0.039462229,0.042173375,0.026508978,-0.011972695,0.001954103,-0.002085004,0.005085114,-0.001520802,-0.011096736,-0.019662892,-0.009007059,-0.002509251,-0.004289215,-77,-17,-33,7,-24,-60,-92,-61,-37,-34,(641.6413)
2017/9/16,83,76,119,42,53,71,93,90,83,87,3774.2653 ,8.235961016,0.128352406,0.021991035,0.020136369,0.031529315,0.011127994,0.014042468,0.018811608,0.024640557,0.023845701,0.021991035,0.023050844,-0.024098439,-0.018422145,-0.007029199,-0.009356217,-0.013972702,-0.006191178,0.002650155,-0.015616529,-0.02018234,-0.003458134,-70,-52,-9,-26,-40,-12,20,-41,-57,-1,454.6353 
2017/9/17,72,78,79,52,59,88,185,125,100,83,3763.6260 ,8.233138144,-0.002822872,0.019130487,0.020724695,0.020990396,0.013816463,0.015676372,0.023381707,0.049154724,0.033212651,0.026570121,0.022053201,-0.002860548,0.000588325,-0.01053892,0.002688469,0.001633903,0.004570098,0.024514167,0.009366951,0.004579086,-0.000997643,-11,2,-40,10,6,17,92,35,17,-4,(10.6392)
2017/9/18,74,88,105,84,112,101,193,181,99,97,3746.0608 ,8.228460109,-0.004678035,0.019754084,0.023491343,0.028029444,0.022423555,0.029898073,0.026961655,0.051520787,0.048317422,0.026427761,0.025893867,0.000623597,0.002766649,0.007039048,0.008607092,0.014221702,0.003579949,0.002366063,0.015104771,-0.00014236,0.003840666,2,10,26,32,53,13,8,56,-1,14,(17.5653)
2017/9/19,57,89,94,77,68,84,162,155,96,104,4093.3167 ,8.317110841,0.088650732,0.013925138,0.02174276,0.022964263,0.018811152,0.016612445,0.020521256,0.039576708,0.037866604,0.023452864,0.02540727,-0.005828946,-0.001748584,-0.005065181,-0.003612403,-0.013285628,-0.006440399,-0.011944079,-0.010450818,-0.002974897,-0.000486598,-17,1,-11,-7,-44,-17,-31,-26,-3,7,347.2559 
2017/9/20,84,90,86,59,65,124,94,108,83,78,3943.4133 ,8.279801955,-0.037308886,0.021301343,0.022822868,0.021808518,0.014961658,0.016483182,0.03144484,0.023837217,0.027387441,0.021047756,0.019779819,0.007376205,0.001080108,-0.001155745,-0.003849494,-0.000129263,0.010923583,-0.015739491,-0.010479163,-0.002405109,-0.005627451,27,1,-8,-18,-3,40,-68,-47,-13,-26,(149.9033)
2017/9/21,102,98,104,73,95,115,84,128,136,91,3977.5617 ,8.288424264,0.008622309,0.025643851,0.02463821,0.026146672,0.018352952,0.023883979,0.028912185,0.021118466,0.032180519,0.034191802,0.022878338,0.004342508,0.001815343,0.004338154,0.003391295,0.007400797,-0.002532654,-0.002718751,0.004793078,0.013144046,0.003098519,18,8,18,14,30,-9,-10,20,53,13,34.1483 
